date,totalPlus1d,beijing-in,wuhan-out,wuhan-beijing,Wuhan,Hubei-beijing,Hubei,wenzhou-beijing,wenzhou,guangzhou-beijing,guangzhou,shenzhen-beijing,shenzhen,shanghi-beijing,shanghai
1月20日,10,7.02,8.31,0.56,224,1.53,270,0.43,0,0.35,0,0.33,7,1.04,3
1月21日,14,7.08,10.74,0.47,258,1.44,375,0.58,1,0.32,2,0.32,14,0.87,7
1月22日,26,5.9,11.84,0.39,320,1.41,444,0.76,2,0.33,5,0.32,15,0.81,9
1月23日,36,4.84,11.1,0.36,495,1.43,549,0.98,6,0.37,7,0.32,15,0.81,16
1月24日,51,3.72,3.89,0.39,572,1.86,729,0.88,10,0.44,14,0.31,20,0.69,33
1月25日,68,2.55,1.13,0.42,618,2.85,1052,0.57,18,0.56,17,0.44,26,0.65,40
1月26日,80,5.08,0.66,0.42,696,3.14,1423,0.78,32,0.79,26,0.49,36,0.87,53
1月27日,91,6.34,0.43,0.27,892,2.65,2714,1.21,60,1.02,51,0.94,49,1.22,66
1月28日,111,6.01,0.32,0.21,1590,2.15,3554,1.63,114,1.01,63,1.31,63,1.68,80
1月29日,132,5.71,0.26,0.13,1905,1.61,4586,1.61,172,1.05,79,1.32,86,1.73,101
1月30日,156,6.11,0.24,0.07,2639,1.12,5806,1.37,227,1.01,106,1,110,1.88,128
1月31日,183,5.84,0.24,0.2,3215,1.07,7153,1.99,241,0.84,137,1.04,170,1.94,153
2月1日,212,5.55,0.24,0.17,4109,0.96,9074,1.93,265,0.75,175,0.92,196,1.8,177
2月2日,228,6.07,0.46,0.11,5142,1.22,11177,2.3,291,0.75,189,1.01,226,1.82,193
2月3日,253,5.61,0.21,0.13,6384,1.02,13522,2.18,340,0.72,216,0.82,269,2.33,208
2月4日,274,3.44,0.23,0.15,8351,1.16,16678,3.17,364,0.72,237,0.76,289,1.45,233
2月5日,297,2.88,0.28,0.24,10117,1.2,19665,3.11,396,0.59,255,0.75,314,1.29,254
2月6日,315,2.49,0.28,0.14,11618,1.1,22112,2.88,421,0.47,284,0.53,334,1.44,269
2月7日,326,2.59,0.27,0.08,13603,0.86,24953,1.72,438,0.45,298,0.59,351,1.56,281
2月8日,337,2.89,0.28,0.14,14982,0.73,27100,2.26,448,0.38,304,0.68,364,1.4,292
2月9日,342,4.06,0.29,0.21,16902,1.01,29631,2.51,464,0.54,313,0.81,368,1.71,295
2月10日,,4.22,0.17,0.14,18454,1.06,31728,1.73,474,0.54,317,0.7,375,2.06,302
